expert,video_url,notes
Kevin Indig,https://www.youtube.com/watch?v=jQXvbeYF5go,Ahrefs Podcast discussion about AI Overviews and search adaptation.
Ross Simmonds,https://www.youtube.com/watch?v=WB8UkI3JhMM,Channel introduction from Ross Simmonds for content and distribution research.
Eli Schwartz,https://www.youtube.com/watch?v=x5CgYCRLgbc,Product-Led SEO in AI Era discussion with Surfer.
Bernard Huang,https://www.youtube.com/watch?v=ZytMamXMG0M,Clearscope webinar on ranking SEO content in the era of generative AI.
Gael Breton,https://www.youtube.com/watch?v=blG6gss-mUY,Authority Hacker episode on practical AI workflows and automation.
Matt Diggity,https://www.youtube.com/watch?v=-vXNeOGNpvs,AI SEO tutorial focused on ranking in AI-driven search.
Nathan Gotch,https://www.youtube.com/watch?v=lkFA-aBN_LM,AI-era search playbook and search everywhere optimization.
Lily Ray,https://www.youtube.com/watch?v=9dONdby7dDU,Interview on SEO and AI search consulting.
Aleyda Solis,https://www.youtube.com/watch?v=NNl9sRCv3q8,Discussion on preparing for AI search.
Cyrus Shepard,https://www.youtube.com/watch?v=N15RFMqGwZE,Interview on search changes and brand visibility.

